OBJECTID,Id,type,tident,ident,Latitude,Longitude,No_Ruas,TOTAL__KM_,BAIK,SEDANG,RUSAK_RING,RUSAK_BERA
"0","0",TRACK,Aengtaber - Plenggiran (R.95),T1,-6.88984386000,113.01982912000,(R.95),6.50000000000,3.45000000000,1.85000000000,0.00000000000,1.20000000000
"0","0",TRACK,Arosbaya - Campor (R.16),T322,-6.94650041000,112.83733648000,(R.16),6.50000000000,1.20000000000,2.00000000000,2.50000000000,0.80000000000
"0","0",TRACK,Arosbaya - Perreng (R.93),T536,-7.01150618000,112.81534748000,(R.93),7.00000000000,1.60000000000,5.40000000000,0.00000000000,0.00000000000
"0","0",TRACK,Banjar-Pasar Jureng - Lantek Barat (R.104),T910,-7.07552070000,112.90283603000,(R.104),5.00000000000,0.00000000000,0.00000000000,0.80000000000,4.20000000000
"0","0",TRACK,Banyuajuh - Kebun (R.27),T1067,-7.16083087000,112.71926061000,(R.27),2.40000000000,0.00000000000,1.00000000000,1.40000000000,0.00000000000
"0","0",TRACK,Banyubunih - Lantek Timur (R.103),T1203,-7.08491438000,112.94664891000,(R.103),4.00000000000,2.25000000000,1.30000000000,0.00000000000,0.45000000000
"0","0",TRACK,Banyubunih - Tellok_Taman (R.77),T1320,-7.10215688000,113.00345935000,(R.77),4.00000000000,0.00000000000,3.35000000000,0.00000000000,0.65000000000
"0","0",TRACK,Banyusangkah - Dupok (R.01),T1527,-6.88872764000,113.02842124000,(R.01),6.20000000000,0.45000000000,2.55000000000,0.70000000000,2.50000000000
"0","0",TRACK,Batokoceng - Galis Dajah (R.76),T1869,-7.05286609000,112.96736520000,(R.76),5.75000000000,0.80000000000,2.20000000000,0.00000000000,2.75000000000
"0","0",TRACK,Batokoceng - Paka'an Dajah (R.75),T2051,-7.05290406000,112.96732228000,(R.75),6.50000000000,5.05000000000,0.85000000000,0.15000000000,0.45000000000
"0","0",TRACK,Bator - Lergunng (R.69),T2259,-6.95504341000,112.90471751000,(R.69),8.10000000000,0.50000000000,0.65000000000,2.75000000000,4.20000000000
"0","0",TRACK,Benangkah - Binoh (R.88),T2913,-7.06423296000,112.80722198000,(R.88),8.70000000000,0.55000000000,6.30000000000,0.40000000000,1.45000000000
"0","0",TRACK,Bengsempal - Batokoceng (R.74),T3282,-6.99927245000,112.93733510000,(R.74),9.15000000000,0.25000000000,8.90000000000,0.00000000000,0.00000000000
"0","0",TRACK,Bengsereh - Gunilap (R.19),T3911,-6.93605404000,112.96279346000,(R.19),4.20000000000,0.30000000000,0.65000000000,0.85000000000,2.40000000000
"0","0",TRACK,Bengsereh - Klapayan (R.94),T4153,-6.95458844000,112.93660227000,(R.94),3.40000000000,0.00000000000,0.00000000000,1.95000000000,1.45000000000
"0","0",TRACK,Bilaporah - Parseh (R.29),T4363,-7.06151437000,112.72657508000,(R.29),6.50000000000,1.60000000000,3.10000000000,0.90000000000,0.90000000000
"0","0",TRACK,Binoh - Batogubang (R.55),T4619,-7.01827272000,112.85173818000,(R.55),4.00000000000,0.00000000000,1.70000000000,0.00000000000,2.30000000000
"0","0",TRACK,Blega - Kedungdung (R.40),T4877,-7.21200046000,113.04067140000,(R.40),9.60000000000,0.05000000000,5.20000000000,3.10000000000,1.25000000000
"0","0",TRACK,Blega - Konang (R.11),T5330,-7.07463909000,113.08523177000,(R.11),6.00000000000,1.15000000000,2.20000000000,0.10000000000,2.55000000000
"0","0",TRACK,Blega Oloh - Karang Nangkah (R.108),T5589,-7.10221957000,113.07155477000,(R.108),3.00000000000,1.30000000000,1.10000000000,0.00000000000,0.60000000000
"0","0",TRACK,Buluh Bawah - Pendebeh (R.111),T5737,-7.10022728000,112.71260446000,(R.111),5.00000000000,1.80000000000,3.20000000000,0.00000000000,0.00000000000
"0","0",TRACK,Bumianyar - Tambak Pocok (R.114),T6020,-6.89373071000,113.10040419000,(R.114),5.00000000000,0.65000000000,4.35000000000,0.00000000000,0.00000000000
"0","0",TRACK,Bunalas - Benangkah (R.106),T6284,-7.04082264000,112.78500726000,(R.106),5.00000000000,0.60000000000,2.10000000000,0.00000000000,2.30000000000
"0","0",TRACK,Bungkak - Cangkareman (R.07),T6572,-7.07817835000,113.11223315000,(R.07),0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",TRACK,Bungkak - Durjan (R.09A),T7101,-7.08153019000,113.11231496000,(R.09A),12.00000000000,3.90000000000,8.10000000000,0.00000000000,0.00000000000
"0","0",TRACK,Bungkak - Durjan (R.09B),T7119,-7.07758189000,113.11229476000,(R.09B),0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",TRACK,Bungkak - Durjan (R.09C),T7294,-7.04359076000,113.11211329000,(R.09C),0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",TRACK,Bungkak - Konang (R.08),T7718,-7.07463850000,113.08527469000,(R.08),3.10000000000,0.00000000000,0.90000000000,1.15000000000,1.05000000000
"0","0",TRACK,Burneh - Parseh (R.31),T7861,-7.05339247000,112.78332970000,(R.31),0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",TRACK,Campor - Kombangan (R.17),T8047,-6.97849019000,112.89367536000,(R.17),6.70000000000,1.40000000000,2.20000000000,1.85000000000,1.25000000000
"0","0",TRACK,Campor - Landak (R.45),T8224,-6.97848818000,112.89361836000,(R.45),0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",TRACK,Cangkareman - Durjan (R.42),T8619,-7.02817401000,113.10711843000,(R.42),3.30000000000,1.10000000000,0.00000000000,0.00000000000,2.20000000000
"0","0",TRACK,Cangkareman - Mano'an (R.05),T8794,-7.02821718000,113.10712715000,(R.05),5.75000000000,0.40000000000,1.80000000000,0.80000000000,2.75000000000
"0","0",TRACK,Dabung - Galis Dajah (R.109),T9249,-7.03425542000,112.99244268000,(R.109),4.00000000000,2.40000000000,0.90000000000,0.00000000000,0.70000000000
"0","0",TRACK,Dumajah - Bajeman (R.90),T9341,-7.07967167000,112.85412502000,(R.90),5.80000000000,4.40000000000,0.85000000000,0.50000000000,0.05000000000
"0","0",TRACK,Dupok - Katol Timur (R.62),T9619,-6.99020441000,113.00191012000,(R.62),3.60000000000,0.00000000000,3.60000000000,0.00000000000,0.00000000000
"0","0",TRACK,Dupok - Mandung (R.44),T10315,-6.94066191000,113.03012352000,(R.44),6.50000000000,0.55000000000,2.20000000000,0.75000000000,3.00000000000
"0","0",TRACK,Dupok - Mano'an (R.04),T10570,-6.94067624000,113.03016921000,(R.04),10.20000000000,2.10000000000,2.60000000000,2.80000000000,2.70000000000
"0","0",TRACK,Duwekbuter - Pekadan (R.23),T11342,-7.14267818000,112.94985331000,(R.23),0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",TRACK,Embong Anyar - Tajungan (R.12),T11618,-7.15189836000,112.71582881000,(R.12),2.60000000000,0.20000000000,0.40000000000,0.60000000000,1.40000000000
"0","0",TRACK,Embong Cangka - Pedeng (R.06),T11722,-7.08239352000,112.71315775000,(R.06),2.00000000000,0.00000000000,0.80000000000,1.20000000000,0.00000000000
"0","0",TRACK,Galis - Kanagarah (R.57),T11771,-7.11116214000,112.96041207000,(R.57),11.50000000000,2.90000000000,3.75000000000,1.00000000000,3.85000000000
"0","0",TRACK,Galis - Modung (R.39),T12431,-7.11342702000,112.96417739000,(R.39),9.40000000000,2.75000000000,3.10000000000,1.20000000000,2.35000000000
"0","0",TRACK,Gebang - Perreng (R.98),T13184,-6.98668568000,112.79056898000,(R.98),3.60000000000,0.10000000000,0.00000000000,0.00000000000,3.50000000000
"0","0",TRACK,Gigir - Serabi Barat (R.54),T13270,-7.20244534000,112.99329713000,(R.54),8.00000000000,4.45000000000,1.65000000000,1.10000000000,0.80000000000
"0","0",TRACK,Jaddih - Pendabah (R.60A),T13597,-7.07703011000,112.74558926000,(R.60A),2.50000000000,0.00000000000,1.45000000000,0.90000000000,0.15000000000
"0","0",TRACK,Jaddih - Pendabah (R.60B),T13719,-7.11080591000,112.74071267000,(R.60B),4.00000000000,1.60000000000,1.80000000000,0.00000000000,0.60000000000
"0","0",TRACK,Jangkar - Landak (R.64),T13779,-7.08482159000,112.87730215000,(R.64),5.50000000000,0.00000000000,1.40000000000,1.75000000000,2.35000000000
"0","0",TRACK,Janteh - Kwanyar (R.33),T14024,-7.16371114000,112.85420741000,(R.33),3.10000000000,0.80000000000,1.20000000000,0.70000000000,0.40000000000
"0","0",TRACK,Janteh - Pandanan (R.36),T14179,-7.14994160000,112.87550692000,(R.36),2.40000000000,0.00000000000,1.65000000000,0.00000000000,0.75000000000
"0","0",TRACK,Kamal - Labang (R.51),T14283,-7.13859108000,112.77351600000,(R.51),19.00000000000,4.20000000000,9.05000000000,3.85000000000,1.90000000000
"0","0",TRACK,Kampak - Lergunong (R.68),T14453,-6.98773166000,112.91517662000,(R.68),5.00000000000,2.10000000000,0.50000000000,1.80000000000,0.60000000000
"0","0",TRACK,Kanagarah - Konang (R.13),T14711,-7.02804300000,113.01352652000,(R.13),11.00000000000,5.10000000000,0.10000000000,3.30000000000,2.50000000000
"0","0",TRACK,Karang Leman - Soket (R.115),T15455,-7.09019163000,112.82236221000,(R.115),2.00000000000,1.05000000000,0.95000000000,0.00000000000,0.00000000000
"0","0",TRACK,Karanganyar - Mangga'an (R.56),T15536,-7.18215896000,112.92266333000,(R.56),4.60000000000,1.00000000000,0.00000000000,0.00000000000,3.60000000000
"0","0",TRACK,Karanganyar - Pandanan (R.38),T15753,-7.15395360000,112.89610167000,(R.38),2.40000000000,1.75000000000,0.60000000000,0.05000000000,0.00000000000
"0","0",TRACK,Karangpanasan - Blateran (R.97),T15872,-7.12257301000,113.06670156000,(R.97),4.00000000000,0.50000000000,3.30000000000,0.00000000000,0.20000000000
"0","0",TRACK,Karpote - Tellok_Taman (R.80),T16310,-7.13047673000,113.03357226000,(R.80),4.85000000000,0.20000000000,1.60000000000,0.00000000000,3.05000000000
"0","0",TRACK,Katol Barat - Kanagarah (R.18),T16696,-7.02805557000,113.01344748000,(R.18),7.60000000000,1.50000000000,1.30000000000,1.70000000000,3.10000000000
"0","0",TRACK,Katol Barat - Nyonneng Laok (R.50),T17319,-6.96559757000,112.95000385000,(R.50),0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",TRACK,Katol Timur - Kanagarah (R.73),T17978,-6.99102944000,113.00157543000,(R.73),5.20000000000,4.05000000000,0.55000000000,0.00000000000,0.60000000000
"0","0",TRACK,Keleyan - Jaddih (R.84),T18367,-7.08483031000,112.71306261000,(R.84),4.00000000000,2.30000000000,1.70000000000,0.00000000000,0.00000000000
"0","0",TRACK,Kendaban - Banjar-Pasar Jurang (R.112),T18441,-7.06565126000,112.88005443000,(R.112),2.50000000000,0.00000000000,0.80000000000,0.00000000000,1.70000000000
"0","0",TRACK,Klampis - Klapayan (R.70),T18539,-6.89474601000,112.90949302000,(R.70),9.70000000000,0.70000000000,0.65000000000,2.00000000000,6.35000000000
"0","0",TRACK,Klampis Temor - Larangan Glintong (R.107),T19342,-6.89538773000,112.93537449000,(R.107),6.00000000000,1.05000000000,0.65000000000,0.00000000000,4.30000000000
"0","0",TRACK,Kombangan - Katol Timur (R.14),T19994,-6.99223442000,112.94232837000,(R.14),7.90000000000,2.40000000000,2.10000000000,1.30000000000,2.10000000000
"0","0",TRACK,Konang - Tlokoh (R.96),T20393,-7.00180773000,113.07484559000,(R.96),10.70000000000,2.65000000000,1.10000000000,1.10000000000,5.85000000000
"0","0",TRACK,Kwanyar - Modung (R.52),T21205,-7.16368935000,112.85423499000,(R.52),0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",TRACK,Labang - Kwanyar (R.116),T21563,-7.13866719000,112.77356001000,(R.116),0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",TRACK,Labang - Sukolilo (R.99),T21915,-7.13858421000,112.77354366000,(R.99),3.00000000000,1.35000000000,0.05000000000,0.70000000000,0.90000000000
"0","0",TRACK,Labuhan - Bandasoleh (R.72),T22043,-6.89437662000,112.98494582000,(R.72),11.50000000000,4.70000000000,1.55000000000,1.55000000000,3.70000000000
"0","0",TRACK,Lajing - Glagga (R.110),T22524,-6.97079418000,112.80668881000,(R.110),5.00000000000,0.00000000000,1.10000000000,0.00000000000,3.90000000000
"0","0",TRACK,Lambo - Alaskokon (R.102),T22840,-7.12690059000,112.92089811000,(R.102),5.00000000000,1.50000000000,0.00000000000,0.00000000000,3.50000000000
"0","0",TRACK,Lomaer - Bungkak (R.10),T23108,-7.11544018000,113.10395828000,(R.10),0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",TRACK,Lombang Laok - Neroh (R.86),T23251,-7.13320454000,113.02444420000,(R.86),4.90000000000,0.40000000000,2.00000000000,0.00000000000,2.50000000000
"0","0",TRACK,Macajah - Bungkekng (R.63),T23594,-6.89060527000,113.06660383000,(R.63),3.00000000000,0.60000000000,0.00000000000,0.00000000000,2.40000000000
"0","0",TRACK,Macajah_Toloango - Togungguh (R.58A),T23664,-6.89185132000,113.05467596000,(R.58A),6.60000000000,6.15000000000,0.35000000000,0.10000000000,0.00000000000
"0","0",TRACK,Macajah_Toloango - Togungguh (R.58B),T23786,-6.88982525000,113.04486763000,(R.58B),0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",TRACK,Mano'an - Bandang Laok (R.03),T23906,-6.95099370000,113.06582490000,(R.03),5.30000000000,0.20000000000,0.00000000000,0.00000000000,5.10000000000
"0","0",TRACK,Mano'an - Mandung (R.43),T24195,-6.99079047000,113.08341047000,(R.43),4.50000000000,0.00000000000,0.80000000000,0.80000000000,2.90000000000
"0","0",TRACK,Mano'an - Olor (R.97),T24746,-6.99230156000,113.08325607000,(R.97),4.00000000000,0.50000000000,3.30000000000,0.00000000000,0.20000000000
"0","0",TRACK,Mano'an - Tlokoh (R.100),T25048,-6.98812922000,113.07662138000,(R.100),4.00000000000,1.00000000000,0.95000000000,0.00000000000,2.05000000000
"0","0",TRACK,Mlajah - Sembilangan (R.25),T25231,-7.04086371000,112.72917674000,(R.25),7.30000000000,2.20000000000,2.75000000000,2.20000000000,0.15000000000
"0","0",TRACK,Modung - Kedungdung (R.53),T25354,-7.18731383000,112.93832316000,(R.53),12.00000000000,10.90000000000,0.60000000000,0.40000000000,0.10000000000
"0","0",TRACK,Mrecah - Binoh (R.82),T26021,-7.07365824000,112.83878027000,(R.82),8.20000000000,0.90000000000,6.40000000000,0.00000000000,0.90000000000
"0","0",TRACK,Nyorondung - Ketetang (R.32),T26328,-7.06622768000,112.81250560000,(R.32),11.50000000000,4.10000000000,2.85000000000,3.75000000000,0.80000000000
"0","0",TRACK,Paeng - Neroh (R.85),T26555,-7.17156105000,113.03607468000,(R.85),2.00000000000,0.00000000000,0.95000000000,0.00000000000,1.05000000000
"0","0",TRACK,Pakaan Dajah - Duwek Buter (R.41),T26722,-7.14854677000,112.91643541000,(R.41),0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",TRACK,Pandanan - Duwek Buter (R.37),T27049,-7.15392049000,112.89612036000,(R.37),2.50000000000,0.00000000000,0.25000000000,1.00000000000,1.25000000000
"0","0",TRACK,Parseh - Labang (R.30),T27181,-7.09751196000,112.76110240000,(R.30),0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",TRACK,Parseh - Sendang_Petapan (R.28),T27275,-7.09741683000,112.76128530000,(R.28),0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",TRACK,Patemon - Banyubeseh (R.89),T27750,-7.07286883000,112.83642218000,(R.89),2.50000000000,0.00000000000,0.35000000000,0.10000000000,2.05000000000
"0","0",TRACK,Patereman - Neroh (R.87),T27844,-7.17160723000,113.03607945000,(R.87),4.60000000000,0.10000000000,1.50000000000,1.85000000000,1.15000000000
"0","0",TRACK,Paterongan - Kelbung (R.78),T28207,-7.12136812000,112.98571696000,(R.78),7.00000000000,4.50000000000,2.50000000000,0.00000000000,0.00000000000
"0","0",TRACK,Paterongan - Suwa'an (R.34),T28744,-7.12036723000,112.97264965000,(R.34),8.70000000000,4.30000000000,3.60000000000,0.40000000000,0.40000000000
"0","0",TRACK,Peddeng - Sanggra Agung (R.59),T29279,-7.10129404000,112.76137892000,(R.59),6.50000000000,3.20000000000,3.00000000000,0.30000000000,0.00000000000
"0","0",TRACK,Plakaran - Aer Mata (R.65),T29578,-6.95521876000,112.85497385000,(R.65),1.00000000000,0.30000000000,0.70000000000,0.00000000000,0.00000000000
"0","0",TRACK,Plakaran - Binoh (R.21),T29631,-6.95098909000,112.84793506000,(R.21),7.90000000000,0.20000000000,2.60000000000,1.50000000000,3.60000000000
"0","0",TRACK,Ra'as - Banteyan (R.105),T30018,-6.92597900000,112.84983633000,(R.105),6.00000000000,1.55000000000,1.50000000000,0.00000000000,2.95000000000
"0","0",TRACK,Sepulu - Kombangan (R.15),T30693,-6.89758354000,112.96574984000,(R.15),11.70000000000,2.70000000000,3.30000000000,2.65000000000,3.05000000000
"0","0",TRACK,Sepulu - Lergunong (R.67),T31522,-6.95502330000,112.90474752000,(R.67),12.00000000000,2.15000000000,2.15000000000,2.85000000000,4.85000000000
"0","0",TRACK,Sepulu Kota (R.49),T32405,-6.89691558000,112.95887173000,(R.49),2.40000000000,0.20000000000,0.40000000000,0.80000000000,1.00000000000
"0","0",TRACK,Socah - Pernajuh (R.48),T32545,-7.09167916000,112.70713191000,(R.48),4.10000000000,0.20000000000,1.13000000000,0.90000000000,1.88000000000
"0","0",TRACK,Socah - Sembilangan (R.26),T32671,-7.09174354000,112.70716628000,(R.26),6.75000000000,5.15000000000,0.90000000000,0.70000000000,0.00000000000
"0","0",TRACK,Sorpa - Landak (R.61),T32814,-7.04098675000,112.89350588000,(R.61),4.00000000000,1.60000000000,1.80000000000,0.00000000000,0.60000000000
"0","0",TRACK,Sukolilo - Tragah (R.81),T32949,-7.09940158000,112.82592712000,(R.81),8.10000000000,0.00000000000,4.20000000000,1.80000000000,2.10000000000
"0","0",TRACK,Tanah Merah - Janteh (R.35),T33290,-7.09075229000,112.88996654000,(R.35),0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",TRACK,Tanah Merah - Kombangan (R.24),T33494,-7.09128127000,112.89144318000,(R.24),13.30000000000,3.15000000000,6.95000000000,2.65000000000,0.55000000000
"0","0",TRACK,Tanah Merah Dajah - Morommbuh (R.91),T34188,-7.14753156000,112.85295306000,(R.91),7.80000000000,3.40000000000,4.10000000000,0.00000000000,0.30000000000
"0","0",TRACK,Tanah Merah Dajah - Tanah Merah Laok (R.113),T34510,-7.09690830000,112.88872182000,(R.113),1.10000000000,0.65000000000,0.00000000000,0.35000000000,0.10000000000
"0","0",TRACK,Tanah Merah Laok - Baipajung (R.92),T34560,-7.11246729000,112.88332572000,(R.92),2.00000000000,0.00000000000,1.60000000000,0.00000000000,0.40000000000
"0","0",TRACK,Tanjung Bumi - Bungkeng (R.66),T34625,-6.89081255000,113.07787070000,(R.66),3.70000000000,3.55000000000,0.15000000000,0.00000000000,0.00000000000
"0","0",TRACK,Tanjung Bumi - Mandung (R.02),T34765,-6.95309001000,113.08263070000,(R.02),7.20000000000,0.80000000000,4.20000000000,1.00000000000,1.20000000000
"0","0",TRACK,Telang - Buluh (R.101),T35132,-7.11442539000,112.71261544000,(R.101),3.00000000000,2.50000000000,0.50000000000,0.00000000000,0.00000000000
"0","0",TRACK,Telang - Labang (R.83),T35274,-7.12528607000,112.71313017000,(R.83),7.00000000000,5.85000000000,1.15000000000,0.00000000000,0.00000000000
"0","0",TRACK,Tengket - Arosbaya (R.20),T35434,-6.94623898000,112.83008019000,(R.20),2.00000000000,0.00000000000,0.70000000000,0.30000000000,1.00000000000
"0","0",TRACK,Tragah - Labang (R.47),T35510,-7.08988326000,112.82227353000,(R.47),0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",TRACK,Tramok - Katol Timur (R.46),T35734,-6.99098510000,113.00156604000,(R.46),5.50000000000,0.00000000000,0.00000000000,3.60000000000,1.90000000000
"0","0",TRACK,Trogan Dajah - Tanggungan (R.71),T36198,-6.92671191000,112.89649721000,(R.71),4.50000000000,1.25000000000,2.15000000000,0.70000000000,0.40000000000
"0","0",TRACK,Tunjung - Binoh (R.22),T36483,-7.04511828000,112.78241616000,(R.22),0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"1","0",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"5","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"6","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"7","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"8","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"9","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"10","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"11","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"12","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"13","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"14","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"15","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"16","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"17","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"18","0",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"19","0",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",TRACK,Bungkak - Durjan (R.09D,T7350,-7.03401661000,113.12292955000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
